CDIM:       161
SDIM:       105
      0.96321478E+01     -0.95635898E-01      0.13422724E+01
      0.96329670E+01     -0.95637836E-01      0.13421018E+01
      0.96334696E+01     -0.95639043E-01      0.13419968E+01
      0.96337795E+01     -0.95639780E-01      0.13419319E+01
      0.96339703E+01     -0.95640235E-01      0.13418921E+01
      0.96340885E+01     -0.95640518E-01      0.13418676E+01
      0.73748546E+01     -0.77407874E-01      0.16889007E+01
      0.73749690E+01     -0.77410094E-01      0.16888804E+01
      0.73751216E+01     -0.77414043E-01      0.16888584E+01
      0.73753214E+01     -0.77419929E-01      0.16888331E+01
      0.73755817E+01     -0.77426732E-01      0.16887957E+01
      0.73759246E+01     -0.77435546E-01      0.16887463E+01
      0.73763723E+01     -0.77447101E-01      0.16886817E+01
      0.73769584E+01     -0.77462278E-01      0.16885973E+01
      0.73777285E+01     -0.77482112E-01      0.16884863E+01
      0.73787355E+01     -0.77508077E-01      0.16883410E+01
      0.73800559E+01     -0.77542067E-01      0.16881506E+01
      0.73817849E+01     -0.77586517E-01      0.16879011E+01
      0.73840513E+01     -0.77644244E-01      0.16875728E+01
      0.73870211E+01     -0.77720664E-01      0.16871452E+01
      0.73909111E+01     -0.77819869E-01      0.16865841E+01
      0.73960085E+01     -0.77949353E-01      0.16858481E+01
      0.74026880E+01     -0.78117989E-01      0.16848832E+01
      0.74114404E+01     -0.78337274E-01      0.16836189E+01
      0.74229097E+01     -0.78621723E-01      0.16819606E+01
      0.74379382E+01     -0.78989603E-01      0.16797857E+01
      0.74576321E+01     -0.79463378E-01      0.16769328E+01
      0.74834409E+01     -0.80070101E-01      0.16731876E+01
      0.75172625E+01     -0.80839001E-01      0.16682634E+01
      0.75615864E+01     -0.81800945E-01      0.16617763E+01
      0.76059098E+01     -0.82711898E-01      0.16552491E+01
      0.76502323E+01     -0.83572701E-01      0.16486812E+01
      0.76945553E+01     -0.84384568E-01      0.16420757E+01
      0.77388835E+01     -0.85153639E-01      0.16354820E+01
      0.77832170E+01     -0.85882291E-01      0.16289164E+01
      0.78275542E+01     -0.86571999E-01      0.16223843E+01
      0.78718934E+01     -0.87222621E-01      0.16158803E+01
      0.79162259E+01     -0.87824494E-01      0.16093180E+01
      0.79605327E+01     -0.88347517E-01      0.16024379E+01
      0.80048246E+01     -0.88791028E-01      0.15952199E+01
      0.80491095E+01     -0.89156330E-01      0.15876617E+01
      0.80933943E+01     -0.89445055E-01      0.15797645E+01
      0.81377077E+01     -0.89706846E-01      0.15718913E+01
      0.81820593E+01     -0.89976281E-01      0.15643010E+01
      0.82264471E+01     -0.90253294E-01      0.15569948E+01
      0.82708635E+01     -0.90537898E-01      0.15499741E+01
      0.83153028E+01     -0.90827473E-01      0.15432107E+01
      0.83597517E+01     -0.91106459E-01      0.15365323E+01
      0.84042063E+01     -0.91372296E-01      0.15299097E+01
      0.84486656E+01     -0.91625035E-01      0.15233433E+01
      0.84931250E+01     -0.91861889E-01      0.15168210E+01
      0.85375881E+01     -0.92076920E-01      0.15102184E+01
      0.85820580E+01     -0.92240147E-01      0.15032635E+01
      0.86265440E+01     -0.92354909E-01      0.14959633E+01
      0.86710520E+01     -0.92421673E-01      0.14883162E+01
      0.87156067E+01     -0.92448436E-01      0.14803671E+01
      0.87602005E+01     -0.92539862E-01      0.14728061E+01
      0.88048201E+01     -0.92728123E-01      0.14658549E+01
      0.88494558E+01     -0.93011655E-01      0.14595195E+01
      0.88940916E+01     -0.93388930E-01      0.14538103E+01
      0.89387341E+01     -0.93821637E-01      0.14485139E+01
      0.89834375E+01     -0.94214804E-01      0.14430516E+01
      0.90282087E+01     -0.94563283E-01      0.14373801E+01
      0.90730495E+01     -0.94866738E-01      0.14314897E+01
      0.91179047E+01     -0.95124468E-01      0.14253846E+01
      0.91627398E+01     -0.95322065E-01      0.14191322E+01
      0.92075491E+01     -0.95456250E-01      0.14127768E+01
      0.92523270E+01     -0.95526263E-01      0.14063140E+01
      0.92970619E+01     -0.95534824E-01      0.13997505E+01
      0.93417625E+01     -0.95495775E-01      0.13930591E+01
      0.93864508E+01     -0.95465191E-01      0.13861108E+01
      0.94311237E+01     -0.95450923E-01      0.13788770E+01
      0.94757872E+01     -0.95455192E-01      0.13713450E+01
      0.95098486E+01     -0.95473468E-01      0.13653975E+01
      0.95358391E+01     -0.95498398E-01      0.13606931E+01
      0.95556736E+01     -0.95524222E-01      0.13569508E+01
      0.95708132E+01     -0.95547281E-01      0.13540148E+01
      0.95823603E+01     -0.95566742E-01      0.13517343E+01
      0.95911722E+01     -0.95582724E-01      0.13499715E+01
      0.95978975E+01     -0.95595568E-01      0.13486145E+01
      0.96030235E+01     -0.95605783E-01      0.13475735E+01
      0.96069317E+01     -0.95613852E-01      0.13467764E+01
      0.96099129E+01     -0.95620133E-01      0.13461661E+01
      0.96121855E+01     -0.95625035E-01      0.13456995E+01
      0.96139221E+01     -0.95628805E-01      0.13453428E+01
      0.96152449E+01     -0.95631726E-01      0.13450702E+01
      0.96162539E+01     -0.95633961E-01      0.13448622E+01
      0.96170254E+01     -0.95635667E-01      0.13447033E+01
      0.96176119E+01     -0.95637001E-01      0.13445820E+01
      0.96180601E+01     -0.95637999E-01      0.13444895E+01
